cp_id,prodotto_clanpesca,marca,categoria,prezzo_clanpesca_eur,sito_concorrente,livello_match,prezzo_concorrente_eur,disponibilita,delta_pct,url,data_rilevazione
17247,Tubertini Mulinello Dark,tubertini,Mare,105.00,megafish.it,famiglia,50.40,disponibile,+108.3,https://www.megafish.it/mulinelli-pesca-frizione-anteriore/6807-mulinello-tubertini-dark.html,2026-08-05
17247,Tubertini Mulinello Dark,tubertini,Mare,105.00,mondo-pesca.it (ora escaepescashop.it),famiglia,105.00,disponibile,+0.0,https://escaepescashop.it/prodotto/tubertini-dark/,2026-08-05
17247,Tubertini Mulinello Dark,tubertini,Mare,105.00,pescamia.eu,famiglia,86.00,esaurito,+22.1,https://www.pescamia.eu/product-page/tubertini-dark-bc-canna-spinning,2026-08-05
17231,Tubertini Mulinello Wasp,tubertini,Mare,85.00,pescamia.eu,famiglia,68.00,esaurito,+25.0,https://www.pescamia.eu/product-page/tubertini-mulinello-wasp,2026-08-05
27258,Tubertini Mulinello Xide,tubertini,Mare,33.00,mondo-pesca.it (ora escaepescashop.it),famiglia,41.00,esaurito,-19.5,https://escaepescashop.it/prodotto/mulinello-tubertini-xide/,2026-08-05
15292,Tubertini Noway Mt 50,tubertini,Fili Nylon,7.40,megafish.it,esatto,7.58,disponibile,-2.4,https://www.megafish.it/nylon-da-pesca/6948-tubertini-noway-50-mt.html,2026-08-05
13437,Tubertini Offshore Bag,tubertini,Borse,40.90,megafish.it,famiglia,28.18,disponibile,+45.1,https://www.megafish.it/borse-e-zaini/6956-tubertini-astuccio-offshore-h-bag.html,2026-08-05
13437,Tubertini Offshore Bag,tubertini,Borse,40.90,mondo-pesca.it (ora escaepescashop.it),famiglia,21.00,esaurito,+94.8,https://escaepescashop.it/prodotto/tubertini-offshore-h-bag/,2026-08-05
28032,Tubertini Pencil Feeder,tubertini,Tecniche Varie,125.00,mondo-pesca.it (ora escaepescashop.it),famiglia,89.00,disponibile,+40.4,https://escaepescashop.it/prodotto/tubertini-pencil-feeder/,2026-08-05
20096,Tubertini Performer,tubertini,Mare,69.00,mondo-pesca.it (ora escaepescashop.it),famiglia,69.00,disponibile,+0.0,https://escaepescashop.it/prodotto/canna-tubertini-performer-xs-2/,2026-08-05
20096,Tubertini Performer,tubertini,Mare,69.00,pescamia.eu,famiglia,74.00,esaurito,-6.8,https://www.pescamia.eu/product-page/tubertini-performer-xs-canna-beach-ledgering,2026-08-05
21681,Tubertini Sea Master,tubertini,Mare,139.00,megafish.it,famiglia,111.00,disponibile,+25.2,https://www.megafish.it/trainabig-game/6286-tubertini-sea-master.html,2026-08-05
21681,Tubertini Sea Master,tubertini,Mare,139.00,mondo-pesca.it (ora escaepescashop.it),famiglia,110.00,disponibile,+26.4,https://escaepescashop.it/prodotto/tubertini-sea-master/,2026-08-05
21681,Tubertini Sea Master,tubertini,Mare,139.00,pescamia.eu,famiglia,116.00,esaurito,+19.8,https://www.pescamia.eu/product-page/tubertini-sea-master-canna-traina-costiera,2026-08-05
14702,Tubertini Testa di Guadino Impact,tubertini,Nasse & Guadini,25.00,mondo-pesca.it (ora escaepescashop.it),famiglia,21.00,disponibile,+19.0,https://escaepescashop.it/prodotto/tubertini-testa-guadino-impact/,2026-08-05
14463,Tubertini Vertigo Black,tubertini,Frizione anteriore,110.00,pescamia.eu,famiglia,119.00,esaurito,-7.6,https://www.pescamia.eu/product-page/tubertini-mulinello-vertigo-black,2026-08-05
