id,marca,nome,categoria,tipo,n_varianti,prezzo_da,prezzo_a,url
25418,tubertini,Canna Tubertini Ionic 2 TLS,Mare,grouped,3,139.00,159.00,https://clanpesca.com/prodotto/canna-tubertini-ionic-2-tls/
25430,tubertini,Canna Tubertini Sylan,Mare,grouped,3,85.00,110.00,https://clanpesca.com/prodotto/canna-tubertini-sylan/
33232,tubertini,Combo Trota Lago fino a Gr 12,Trota Lago,woosb,0,89.80,89.80,https://clanpesca.com/prodotto/completo-canna-mulinello-trota-lago-tubertini-maniac-4200-ar-twix-2000/
33143,tubertini,Mulinelli Tubertini Slade con Bobina in Alluminio,Spinning e Casting,grouped,2,35.00,39.00,https://clanpesca.com/prodotto/mulinelli-tubertini-slade-a-con-bobina-in-alluminio/
14367,tubertini,Mulinello Tubertini Hylas FD,Frizione anteriore,grouped,4,189.00,199.00,https://clanpesca.com/prodotto/tubertini-hylas-fd/
25391,tubertini,Setaccio Tubertini Maggi Box cm 13x13,Mare,simple,0,5.90,5.90,https://clanpesca.com/prodotto/setaccio-tubertini-maggi-box-cm-13x13/
30811,tubertini,Tubertini Area Pro 5500 EX,Tecniche Varie,grouped,2,140.00,179.00,https://clanpesca.com/prodotto/tubertini-area-pro-5500/
16660,tubertini,Tubertini Argos Light Galleggiante all'Inglese,Tecniche Varie,grouped,4,7.50,7.50,https://clanpesca.com/prodotto/tubertini-argos-light-galleggiante-allinglese/
13878,tubertini,Tubertini Borsa Hard Box Small,Borse,simple,0,69.00,69.00,https://clanpesca.com/prodotto/tubertini-borsa-hard-box-small/
25053,tubertini,Tubertini Borsa Imola Cm 48x33x30,Luccio,simple,0,59.00,59.00,https://clanpesca.com/prodotto/tubertini-borsa-imola-cm-48x33x30/
25055,tubertini,Tubertini Borsa Middle Cm 63x33x33,Luccio,simple,0,105.00,105.00,https://clanpesca.com/prodotto/tubertini-borsa-middle-cm-63x33x33/
13877,tubertini,Tubertini Borsa Titan,Borse,simple,0,69.00,69.00,https://clanpesca.com/prodotto/tubertini-borsa-titan/
14672,tubertini,Tubertini Bos Fluorocarbon 50 MT,Fili Fluorocarbon,grouped,8,7.90,13.50,https://clanpesca.com/prodotto/tubertini-bos-fluorocarbon-50-mt/
13802,tubertini,Tubertini Braided Line Viral MT 150,Fili Trecciati,grouped,7,24.50,24.50,https://clanpesca.com/prodotto/tubertini-braided-line-viral-mt-150/
13833,tubertini,Tubertini Braided Line Viral SK MT 150,Fili Trecciati,grouped,7,23.50,23.50,https://clanpesca.com/prodotto/tubertini-braided-line-viral-sk-mt-150/
14985,tubertini,Tubertini Break Line Cat,Boa & Vivo,simple,0,149.00,149.00,https://clanpesca.com/prodotto/tubertini-break-line-cat/
13645,tubertini,Tubertini Canna Deep Yak Ft 6 Gr 50/150,Canne Vertical Siluro,simple,0,129.00,129.00,https://clanpesca.com/prodotto/tubertini-canna-deep-yak-ft-6-gr-50-150/
33233,tubertini,Tubertini Canna Maniac 4200 AR Gr 3-12,Canne Trota lago,simple,0,49.90,49.90,https://clanpesca.com/prodotto/canna-trota-lago-tubertini-maniac-4200-ar-3-12-g/
13656,tubertini,Tubertini Canna Shibani 185 SJ,Canne Vertical Siluro,grouped,2,95.00,99.00,https://clanpesca.com/prodotto/tubertini-canna-shibani-185-sj/
13644,tubertini,Tubertini Canna Spin Yak Ft 7.3 Gr 15/60,Mare,simple,0,145.00,145.00,https://clanpesca.com/prodotto/tubertini-canna-spin-yak-ft-7-3-gr-15-60/
21676,tubertini,Tubertini Crossover 2 Mt 2.20 Lb 6-12,Mare,simple,0,139.00,139.00,https://clanpesca.com/prodotto/tubetini-crossover-2-mt-2-20-lb-6-12/
13434,tubertini,Tubertini Enduro Bag,Borse,grouped,2,45.00,49.90,https://clanpesca.com/prodotto/tubertini-enduro-bag/
13860,tubertini,Tubertini Express Feeder,Ledgering - Feeder - Inglese,grouped,3,69.00,79.00,https://clanpesca.com/prodotto/tubertini-express-feeder-ft-11-gr-60-2/
13445,tubertini,Tubertini Fodero Cesena,Mare,grouped,2,39.00,41.00,https://clanpesca.com/prodotto/tubertini-fodero-cesena/
13442,tubertini,Tubertini Fodero Forlì,Mare,grouped,2,36.60,55.00,https://clanpesca.com/prodotto/tubertini-fodero-forli/
25105,tubertini,Tubertini Fodero Jocker 1,Luccio,simple,0,58.50,58.50,https://clanpesca.com/prodotto/tubertini-fodero-jocker-1/
15345,tubertini,Tubertini Gorilla Surf Mt 300,Fili Nylon,grouped,5,8.40,12.90,https://clanpesca.com/prodotto/tubertini-gorilla-surf-mt-300/
15327,tubertini,Tubertini Honor Mt 1000,Fili Nylon,grouped,3,17.50,17.50,https://clanpesca.com/prodotto/tubertini-honor-mt-1000/
16652,tubertini,Tubertini Ischia Galleggiante all'Inglese,Tecniche Varie,grouped,5,5.90,5.90,https://clanpesca.com/prodotto/tubertini-ischia-galleggiante-allinglese/
20092,tubertini,Tubertini Kaliber Surf,Mare,grouped,2,89.00,95.00,https://clanpesca.com/prodotto/tubertini-kaliber-surf/
13886,tubertini,Tubertini Level Chrome,Bolognese,grouped,2,155.00,199.00,https://clanpesca.com/prodotto/tubertini-level-chrome/
28108,tubertini,Tubertini Level No Limits EVO Montata,Mare,grouped,3,179.90,345.00,https://clanpesca.com/prodotto/tubertini-level-no-limits-evo-montata/
25387,tubertini,Tubertini Maggi Box,Mare,grouped,3,3.90,5.50,https://clanpesca.com/prodotto/tubertini-maggi-box/
14288,tubertini,Tubertini Method Inline T Bait TPC Small,Pasturatori,grouped,5,3.20,4.30,https://clanpesca.com/prodotto/tubertini-method-t-bait-tpc-small/
13769,tubertini,Tubertini Millennium TRX Montata,Canne Trota lago,grouped,3,125.00,175.00,https://clanpesca.com/prodotto/tubertini-millennium-trx-montata/
17231,tubertini,Tubertini Mulinello Wasp,Mare,grouped,5,85.00,89.00,https://clanpesca.com/prodotto/tubertini-mulinello-wasp/
27258,tubertini,Tubertini Mulinello Xide,Mare,grouped,4,33.00,41.00,https://clanpesca.com/prodotto/tubertini-mulinello-xide/
15292,tubertini,Tubertini Noway Mt 50,Fili Nylon,grouped,4,7.40,7.40,https://clanpesca.com/prodotto/tubertini-noway-mt-50/
20570,tubertini,Tubertini Nylon Megadom Mt 300,Mare,grouped,2,15.95,16.95,https://clanpesca.com/prodotto/tubertini-nylon-megadom-mt-300/
20574,tubertini,Tubertini Nylon Megadom Mt 600,Mare,grouped,2,19.90,22.90,https://clanpesca.com/prodotto/tubertini-nylon-megadom-mt-600/
13437,tubertini,Tubertini Offshore Bag,Borse,grouped,2,40.90,47.50,https://clanpesca.com/prodotto/tubertini-offshore-bag/
28032,tubertini,Tubertini Pencil Feeder,Tecniche Varie,grouped,2,125.00,129.00,https://clanpesca.com/prodotto/tubertini-pencil-feeder/
20096,tubertini,Tubertini Performer,Mare,grouped,2,69.00,75.00,https://clanpesca.com/prodotto/tubertini-performer/
16674,tubertini,Tubertini Porta Bombarde L,Trota Lago,simple,0,21.00,21.00,https://clanpesca.com/prodotto/tubertini-porta-bombarde-l/
28118,tubertini,Tubertini Raider Handle,Mare,grouped,2,14.95,22.90,https://clanpesca.com/prodotto/tubertini-raider-handle/
28114,tubertini,Tubertini Raider Handle Strong,Mare,grouped,2,19.95,29.00,https://clanpesca.com/prodotto/tubertini-raider-handle-strong/
15323,tubertini,Tubertini Raion Mt 150,Fili Nylon,grouped,4,10.90,11.50,https://clanpesca.com/prodotto/tubertini-raion-mt-150/
27194,tubertini,Tubertini Razer,Spinning e Casting,grouped,3,29.00,29.00,https://clanpesca.com/prodotto/tubertini-razer/
21681,tubertini,Tubertini Sea Master,Mare,simple,0,139.00,139.00,https://clanpesca.com/prodotto/tubertini-sea-master/
16636,tubertini,Tubertini T-Pro Dumbell,Tecniche Varie,grouped,5,4.90,4.90,https://clanpesca.com/prodotto/tubertini-t-pro-dumbell-2/
13838,tubertini,Tubertini Tatanka 1000 Montata,All Round,grouped,1,95.00,95.00,https://clanpesca.com/prodotto/tubertini-tatanka-1000-montata/
15339,tubertini,Tubertini Tatanka Evo Mt 150,Fili Nylon,grouped,8,11.50,14.50,https://clanpesca.com/prodotto/tubertini-tatanka-evo-mt-150/
30805,tubertini,Tubertini Tatanka Force Slim,Tecniche Varie,grouped,3,89.95,89.95,https://clanpesca.com/prodotto/tubertini-tatanka-force-slim/
14709,tubertini,Tubertini Tatanka Neutral Mt 150,Fili Nylon,grouped,5,13.90,16.50,https://clanpesca.com/prodotto/tubertini-tatanka-neutral-mt-150/
15331,tubertini,Tubertini TBR Mt 150,Fili Nylon,grouped,3,5.80,5.80,https://clanpesca.com/prodotto/tubertini-tbr-mt-150/
14702,tubertini,Tubertini Testa di Guadino Impact,Nasse & Guadini,grouped,2,25.00,28.95,https://clanpesca.com/prodotto/tubertini-testa-di-guadino-impact/
